CAR,Abra,Bangued,"Abra, a landlocked province in Northern Luzon, lies on the western side of the Cordillera mountain range. Its landscape is characterized by deep valleys and sloping hills surrounded by rugged mountains, with the Abra River flowing towards the coastal plains of Ilocos Sur in the west. It shares borders with Ilocos Norte, Apayao, Mountain Province, Ilocos Sur, and Kalinga. Established as a politico-military province in 1846, Abra was previously part of the old Ilocos Province and later Ilocos Sur. Civil government was established in Abra on August 19, 1901, but it was re-annexed to Ilocos Sur in February 1905. Abra regained its status as a province in March 1917 with the passage of Act 2683. Agriculture is the primary economic activity, and horses were historically significant for transportation. The Abra River serves as a vital route for traversing the province.",250985,4199.72
CAR,Apayao,Kabugao,"Apayao is a landlocked province situated in the Cordillera Administrative Region in Luzon, Philippines, with Kabugao serving as its capital. The provincial capitol and associated offices are located at the New Government Center in Luna. It shares borders with Cagayan to the north and east, Abra and Ilocos Norte to the west, and Kalinga to the south. Previously, before 1995, Apayao was part of the larger province of Kalinga-Apayao, which was divided to better address the distinct needs of individual ethnic groups. By the 20th century, Apayao was predominantly inhabited by the Isneg people, primarily located in the highland municipalities of Kabugao and Calanasan, with scattered settlements along the upper reaches of the Apayao-Abulug River and major tributaries of the Matalag River in Conner. In 1966, the Mountain Province was split into four provinces, including Kalinga-Apayao, which later became part of the Cagayan Valley region. With the establishment of the Cordillera Administrative Region in 1987, Kalinga-Apayao became one of its provinces. Finally, in 1995, Kalinga-Apayao was divided into two independent provinces through Republic Act No. 7878.",124366,4502.33
CAR,Benguet,La Trinidad,"Benguet, situated in the Cordillera Administrative Region (CAR) in Northern Luzon, along with Abra, Apayao, Baguio City, Ifugao, Kalinga, and Mountain Province, features a mountainous terrain characterized by peaks, ridges, and canyons, with a temperate and generally pleasant climate. It is the southernmost province in CAR, bordered by Mountain Province to the north, Pangasinan to the south, Ifugao and Nueva Vizcaya to the east, and La Union and Ilocos Sur to the west. The province comprises one congressional district, two provincial board districts, thirteen municipalities, and one hundred forty barangays. It is home to three major ethnolinguistic groups—the Kankanaeys, Ibalois, and Kalanguya—as well as other minor groups with distinct cultures and histories.",827041,2769.08
CAR,Ifugao,Lagawe,"The name Ifugao originates from ""Ipugo,"" meaning ""from the hill,"" with its spelling modified by Spanish colonizers to Ifugaw and further altered by Americans to its current form. This name encompasses both the province and its inhabitants, who are now primarily recognized by their spoken dialects, including the Ayangan, Tuwali, and Kalanguya groups. Ifugao achieved provincial status through House Bill No. 1526, also known as Republic Act No. 4695 or the ""Division Law of Mountain Province,"" enacted on June 18, 1966. President Marcos officially installed the province's first officials on March 26, 1967, with Gualberto B. Lumauig serving as governor, Manuel Tuguinay as vice governor, and Gaspar Ponchinlan and Napoleon Hangdaan as board members, marking the beginning of provincial operations on April 1, 1967.",207498,2618.01
CAR,Kalinga,Tabuk City,"Kalinga, nestled in the Cordillera region of Luzon Island, is a landlocked province flanked by Isabela to the east, Abra to the west, Cagayan to the north, and Apayao to the northeast. Its population of around 210,000 people is centered around Tabuk, the provincial capital. Once characterized by tribal conflicts, the province underwent a transformation following the ""Budong"" peace agreements, now welcoming visitors to uncover its hidden treasures. Across the province, visitors are treated to awe-inspiring rice terraces, stunning natural landscapes, and the warm hospitality of locals, who were once formidable warriors. Notable among its cultural attractions is the traditional hand-tapped tattoo village of ""Buscalan"" in the barangay of Butbut, Tinglayan—a precious heritage facing the threat of extinction. For adventurers, the region offers thrilling rafting experiences along a powerful river near Tabuk, particularly during the rainy season, catering to both professionals and beginners seeking unforgettable encounters with nature.",229570,3282.04
CAR,Mountain Province,Bontoc,"Mountain Province, also known as ""Kaigorotan,"" offers a rich cultural heritage and natural beauty, attracting visitors with its native delicacies and tourist destinations. It was the first province evangelized by American missionaries, resulting in many residents, especially elders, being fluent in English alongside the major dialect Aplai, with additional proficiency in Ilocano and Filipino. The province experiences two distinct seasons, with a relatively short dry period from November to April. Initially formed as a special province in 1907, Mountain Province underwent several subdivisions, ultimately leading to the creation of five distinct provinces: Benguet, Kalinga, Apayao, Ifugao, and Mountain Province itself. The subdivision process was driven by local leaders advocating for better political and geographical organization, culminating in the passage of RA 4695 by President Ferdinand E. Marcos on June 18, 1966. On April 7, 1967, the ""new"" Mountain Province officially commenced its operations, and this date has since been celebrated as the province's foundation day.",158200,2389.43
NCR,N/A,Manila,"Manila City is the historic heart of Metro Manila, known for its rich cultural heritage and significant landmarks. It is home to iconic sites such as Intramuros, a walled city dating back to the Spanish colonial era, and Rizal Park, dedicated to the national hero Jose Rizal. The city is a blend of old and new, with colonial-era architecture juxtaposed against modern skyscrapers and bustling commercial districts. Manila City also boasts vibrant markets, lively street scenes, and a lively nightlife, making it a dynamic and exciting destination for locals and tourists alike.",1846513,42.34
ARMM,Basilan,,,,
ARMM,Cotabato,,,,
ARMM,Lanao Del Sur,,,,
